1 1d 01 aaaaeeee || xxxxxxxx xxxxxxxx
1 1d 01 aaaaeeee || xxxxxxxx xxxxxxxx
1 1d 01 aaaaeeee || aaaaeeee xxxxxxxx
1 1d 01 aaaaeeee || aaaaeeee xxxxxxxx
0 1d 01 aaaaaaaa || aaaaeeee xxxxxxxx
0 1d 01 aaaaaaaa || aaaaeeee xxxxxxxx
0 1d 01 aaaaaaaa || aaaaeeee xxxxxxxx
0 1d 01 aaaaaaaa || aaaaeeee xxxxxxxx
1 1d 01 aaaaaaaa || aaaaeeee xxxxxxxx
1 1d 01 aaaaaaaa || aaaaeeee xxxxxxxx
1 1d 01 aaaaaaaa || aaaaaaaa xxxxxxxx
1 1d 01 aaaaaaaa || aaaaaaaa xxxxxxxx
1 1d 01 aaaaaaaa || aaaaaaaa xxxxxxxx
1 1d 01 aaaaaaaa || aaaaaaaa xxxxxxxx
1 1d 01 aaaaaaaa || aaaaaaaa aaaaaaaa
1 1d 01 aaaaaaaa || aaaaaaaa aaaaaaaa
1 00 01 aaaaaaaa || 00000000 aaaaaaaa
